date,close
2015-05-29,10.136
2015-06-01,10.778
2015-06-02,11.064
2015-06-03,10.989
2015-06-04,11.01
2015-06-05,11.268
2015-06-08,11.042
2015-06-09,11.105
2015-06-10,11.29
2015-06-11,11.5
2015-06-12,11.7
2015-06-15,11.434
2015-06-16,10.985
2015-06-17,11.23
2015-06-18,10.844
2015-06-19,10.141
2015-06-23,10.139
2015-06-24,10.298
2015-06-25,9.977
2015-06-26,8.979
2015-06-29,8.454
2015-06-30,9.095
2015-07-01,8.362
2015-07-02,8
2015-07-03,7.409
2015-07-06,7.409
2015-07-07,6.831
2015-07-08,6.148
2015-07-09,6.763
2015-07-10,7.439
2015-07-13,8.183
2015-07-14,7.886
2015-07-15,7.202
2015-07-16,7.59
2015-07-17,8.077
2015-07-20,8.114
2015-07-21,8.246
2015-07-22,8.357
2015-07-23,8.651
2015-07-24,8.471
2015-07-27,7.729
2015-07-28,7.701
2015-07-29,8.148
2015-07-30,7.854
2015-07-31,7.768
2015-08-03,7.507
2015-08-04,8.058
2015-08-05,7.891
2015-08-06,7.842
2015-08-07,8.103
2015-08-10,8.556
2015-08-11,8.526
2015-08-12,8.386
2015-08-13,8.592
2015-08-14,8.674
2015-08-17,8.92
2015-08-18,8.159
2015-08-19,8.434
2015-08-20,8.104
2015-08-21,7.698
2015-08-24,6.928
2015-08-25,6.235
2015-08-26,6.236
2015-08-27,6.5
2015-08-28,6.891
2015-08-31,6.621
2015-09-01,6.166
2015-09-02,6.011
2015-09-07,6.158
2015-09-08,6.495
2015-09-09,6.682
2015-09-10,6.509
2015-09-11,6.559
2015-09-14,5.998
2015-09-15,5.701
2015-09-16,6.191
2015-09-17,6.044
2015-09-18,6.125
2015-09-21,6.393
2015-09-22,6.366
2015-09-23,6.272
2015-09-24,6.359
2015-09-25,6.12
2015-09-28,6.291
2015-09-29,6.225
2015-09-30,6.231
2015-10-08,6.489
2015-10-09,6.565
2015-10-12,6.848
2015-10-13,6.91
2015-10-14,6.852
2015-10-15,7.107
2015-10-16,7.179
2015-10-19,7.22
2015-10-20,7.291
2015-10-21,6.868
2015-10-22,7.11
2015-10-23,7.3
2015-10-26,7.296
2015-10-27,7.361
2015-10-28,7.156
2015-10-29,7.236
2015-10-30,7.23
2015-11-02,7.084
2015-11-03,7.05
2015-11-04,7.512
2015-11-05,7.49
2015-11-06,7.673
2015-11-09,7.763
2015-11-10,7.768
2015-11-11,7.922
2015-11-12,7.946
2015-11-13,7.783
2015-11-16,7.979
2015-11-17,7.849
2015-11-18,7.729
2015-11-19,7.979
2015-11-20,8.048
2015-11-23,7.96
2015-11-24,8.055
2015-11-25,8.167
2015-11-26,8.092
2015-11-27,7.608
2015-11-30,7.601
2015-12-01,7.651
2015-12-02,7.654
2015-12-03,7.785
2015-12-04,7.685
2015-12-07,7.814
2015-12-08,7.626
